trial_id,oversampling_method,oversampling_threshold,undersampling_method,undersampling_threshold,value,state,start_time,complete_time,total_time
134,fastml,0.25,tomeklinks,0.25,1.0,COMPLETE,2024-04-12 00:01:07.903220,2024-04-12 00:01:43.671991,35.768771
135,gaussiancopula,0,tomeklinks,0.0625,0.9975932405321575,COMPLETE,2024-04-12 00:01:43.685900,2024-04-12 00:02:44.868493,61.182593
136,fastml,0.5,instancehardness,0,0.9976575303753685,COMPLETE,2024-04-12 00:02:44.899381,2024-04-12 00:03:59.605223,74.705842
137,tvae,auto,nearmiss,0.125,0.9976240131798227,COMPLETE,2024-04-12 00:03:59.651657,2024-04-12 00:05:08.819586,69.167929
138,gaussiancopula,auto,clustercentroid,auto,0.9953572134953104,COMPLETE,2024-04-12 00:05:08.863028,2024-04-12 00:06:08.049831,59.186803
139,random,0.5,condensednn,auto,0.990799067808386,COMPLETE,2024-04-12 00:06:08.078034,2024-04-12 00:06:34.164860,26.086826
140,gaussiancopula,0.5,clustercentroid,0.25,1.0,COMPLETE,2024-04-12 00:06:34.181141,2024-04-12 00:07:07.973193,33.792052
141,random,0.25,editednn,0.5,0.7854977988608298,COMPLETE,2024-04-12 00:07:07.999837,2024-04-12 00:07:31.813400,23.813563
142,fastml,2,tomeklinks,0.25,1.0,COMPLETE,2024-04-12 00:07:31.831791,2024-04-12 00:08:28.107718,56.275927
143,gaussiancopula,auto,nearmiss,0,1.0,COMPLETE,2024-04-12 00:08:28.157167,2024-04-12 00:09:17.449925,49.292758
144,smote,auto,editednn,0.125,0.5847004037799844,COMPLETE,2024-04-12 00:09:17.477725,2024-04-12 00:09:45.273582,27.795857
145,adasyn,auto,editednn,0.0625,-1.0,ERROR,2024-04-12 00:09:45.297552,2024-04-12 00:09:45.614700,0.317148
146,tvae,1,onesidedselection,0.125,1.0,COMPLETE,2024-04-12 00:09:45.635233,2024-04-12 00:10:41.688619,56.053386
147,smote,auto,clustercentroid,0,1.0,COMPLETE,2024-04-12 00:10:41.713379,2024-04-12 00:15:40.386003,298.672624
148,tvae,2,random,0.0625,0.9976575303753685,COMPLETE,2024-04-12 00:15:40.421002,2024-04-12 00:17:21.498743,101.077741
149,fastml,0.5,condensednn,auto,0.9976744695054555,COMPLETE,2024-04-12 00:17:21.514360,2024-04-12 00:18:03.296225,41.781865
150,fastml,0.5,nearmiss,0.25,1.0,COMPLETE,2024-04-12 00:18:03.318254,2024-04-12 00:18:38.195138,34.876884
151,random,0.5,editednn,auto,0.7986150008702513,COMPLETE,2024-04-12 00:18:38.226988,2024-04-12 00:19:12.297943,34.070955
152,tvae,0.5,condensednn,0.5,0.9976822359830082,COMPLETE,2024-04-12 00:19:12.313177,2024-04-12 00:19:56.350739,44.037562
153,fastml,auto,editednn,0.25,0.43655791969828694,COMPLETE,2024-04-12 00:19:56.374841,2024-04-12 00:20:35.692474,39.317633
154,ctgan,2,editednn,0.5,0.5907701095322349,COMPLETE,2024-04-12 00:20:35.723555,2024-04-12 00:21:08.511644,32.788089
155,copulagan,2,onesidedselection,auto,1.0,COMPLETE,2024-04-12 00:21:08.541464,2024-04-12 00:21:39.159254,30.61779
156,copulagan,2,instancehardness,0.125,1.0,COMPLETE,2024-04-12 00:21:39.173894,2024-04-12 00:22:15.600918,36.427024
157,adasyn,0.25,tomeklinks,auto,-1.0,ERROR,2024-04-12 00:22:15.619285,2024-04-12 00:22:15.703669,0.084384
158,ctgan,0.5,editednn,0.125,0.7552873869549414,COMPLETE,2024-04-12 00:22:15.719620,2024-04-12 00:22:52.841473,37.121853
159,smote,0.5,random,0.125,1.0,COMPLETE,2024-04-12 00:22:52.860681,2024-04-12 00:23:38.467276,45.606595
160,random,auto,clustercentroid,0.125,1.0,COMPLETE,2024-04-12 00:23:38.489818,2024-04-12 00:24:24.861383,46.371565
161,tvae,0,instancehardness,0.0625,0.9975932405321575,COMPLETE,2024-04-12 00:24:24.898146,2024-04-12 00:24:59.808713,34.910567
162,tvae,2,clustercentroid,0.125,1.0,COMPLETE,2024-04-12 00:24:59.863997,2024-04-12 00:26:24.115287,84.25129
163,tvae,2,tomeklinks,0.5,1.0,COMPLETE,2024-04-12 00:26:24.142622,2024-04-12 00:27:07.119900,42.977278
164,gaussiancopula,2,condensednn,0.0625,1.0,COMPLETE,2024-04-12 00:27:07.135947,2024-04-12 00:27:42.890025,35.754078
165,fastml,auto,tomeklinks,0.125,1.0,COMPLETE,2024-04-12 00:27:42.919204,2024-04-12 00:28:32.156334,49.23713
166,copulagan,0.25,editednn,0.0625,0.821629025512661,COMPLETE,2024-04-12 00:28:32.171329,2024-04-12 00:29:02.605486,30.434157
